Host.Species,Lake,Year,Julian.Day,Julian,Date,Date2,Total,Uninfected.Adult,Uninfected.Juv,Uninfected.Males,Uninfected.Ephip,pasteuria.inf,metsch.inf,spiro.inf,brood.inf,larssonia.inf,spider.inf,gurleya.inf,caullerya.inf,micG.inf,coke.inf,pasteuria.prev,metsch.prev,spiro.prev,brood.prev,larssonia.prev,spider.prev,gurleya.prev,caullerya.prev,micG.prev,coke.prev,Host.Density
ceriodaphnia,Appleton,2014,2014255,255,12-Sep-14,9/12/2014,3,0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
dentifera,Appleton,2014,2014199,199,18-Jul-14,7/18/2014,327,166,159,0,0,0,0,1,1,0,0,0,NA,NA,NA,0,0,0.00305810397553517,0.00305810397553517,0,0,0,NA,NA,NA,50762.6
dentifera,Appleton,2014,2014212,212,31-Jul-14,7/31/2014,204,77,127,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,24063.2
dentifera,Appleton,2014,2014225,225,13-Aug-14,8/13/2014,229,169,58,0,0,0,0,2,0,0,0,0,NA,NA,NA,0,0,0.00873362445414847,0,0,0,0,NA,NA,NA,32392.7
dentifera,Appleton,2014,2014240,240,28-Aug-14,8/28/2014,237,86,149,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0.00421940928270042,0,0,0,NA,NA,NA,39123.7
dentifera,Appleton,2014,2014255,255,12-Sep-14,9/12/2014,225,96,128,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,20753.8
dentifera,Appleton,2014,2014269,269,26-Sep-14,9/26/2014,205,90,113,0,0,0,0,0,2,0,0,0,NA,NA,NA,0,0,0,0.00975609756097561,0,0,0,NA,NA,NA,12620.5
dentifera,Appleton,2014,2014280,280,7-Oct-14,10/7/2014,282,145,122,3,0,0,0,0,11,0,0,0,NA,NA,NA,0,0,0,0.0390070921985816,0,0,0,NA,NA,NA,8918.5
dentifera,Appleton,2014,2014297,297,24-Oct-14,10/24/2014,238,95,102,38,3,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,10657.3
dentifera,Appleton,2014,2014308,308,4-Nov-14,11/4/2014,216,36,66,85,28,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.00462962962962963,0,0,0,0,NA,NA,NA,9255.1
