"Host.Species","Lake","Year","Julian.Day","Julian","Date","Date2","Total","Uninfected.Adult","Uninfected.Juv","Uninfected.Males","Uninfected.Ephip","pasteuria.prev","brood.prev","micG.prev","coke.prev","Host.Density"
"ambigua","Appleton",2022,2022153,153,"2-Jun-22","6/2/2022",306,149,22,23,12,0,0.00980392156862745,0,0.0522875816993464,8315.9
"ambigua","Appleton",2022,2022208,208,"27-Jul-22","7/27/2022",9,5,3,0,0,NA,NA,NA,NA,244.6
"ambigua","Appleton",2022,2022222,222,"10-Aug-22","8/10/2022",4,2,0,0,0,NA,NA,NA,NA,108.7
"ceriodaphnia","Appleton",2022,2022222,222,"10-Aug-22","8/10/2022",2,2,0,NA,0,NA,NA,NA,NA,63.9
"ceriodaphnia","Appleton",2022,2022250,250,"7-Sep-22","9/7/2022",3,2,1,NA,0,NA,NA,NA,NA,124.1
"ceriodaphnia","Appleton",2022,2022278,278,"5-Oct-22","10/5/2022",1,1,0,NA,0,NA,NA,NA,NA,90.6
"dentifera","Appleton",2022,2022153,153,"2-Jun-22","6/2/2022",218,53,154,3,0,0,0,0,0.0321100917431193,17875.4
"dentifera","Appleton",2022,2022194,194,"13-Jul-22","7/13/2022",218,81,137,0,0,0,0,0,0,16926.9
"dentifera","Appleton",2022,2022208,208,"27-Jul-22","7/27/2022",225,47,154,0,0,0,0,0,0.0933333333333333,40764.3
"dentifera","Appleton",2022,2022222,222,"10-Aug-22","8/10/2022",236,63,137,0,0,0,0,0,0.101694915254237,42757.3
"dentifera","Appleton",2022,2022236,236,"24-Aug-22","8/24/2022",232,63,125,0,0,0,0,0,0.0387931034482759,15303.1
"dentifera","Appleton",2022,2022250,250,"7-Sep-22","9/7/2022",185,64,92,0,0,0,0,0,0.156756756756757,5027.6
"dentifera","Appleton",2022,2022264,264,"21-Sep-22","9/21/2022",104,56,31,0,0,0,0,0.0961538461538462,0.0961538461538462,2826.3
"dentifera","Appleton",2022,2022278,278,"5-Oct-22","10/5/2022",90,34,33,0,0,0,0,0.133333333333333,0.122222222222222,2445.9
"dentifera","Appleton",2022,2022292,292,"19-Oct-22","10/19/2022",104,33,15,13,8,0,0,0.0961538461538462,0.240384615384615,2826.3
"dentifera","Appleton",2022,2022307,307,"3-Nov-22","11/3/2022",37,13,8,8,5,0,0,0,0.0540540540540541,5414.3
"dubia","Appleton",2022,2022153,153,"2-Jun-22","6/2/2022",182,29,152,0,0,0,0,0,0.00549450549450549,4946.1
"dubia","Appleton",2022,2022194,194,"13-Jul-22","7/13/2022",3,0,3,0,0,NA,NA,NA,NA,326.1
"dubia","Appleton",2022,2022208,208,"27-Jul-22","7/27/2022",269,75,193,0,0,0,0,0,0.00371747211895911,7310.4
"dubia","Appleton",2022,2022222,222,"10-Aug-22","8/10/2022",211,117,94,0,0,0,0,0,0,18497.4
"dubia","Appleton",2022,2022236,236,"24-Aug-22","8/24/2022",209,74,112,0,0,0,0,0,0.110047846889952,9280.8
"dubia","Appleton",2022,2022250,250,"7-Sep-22","9/7/2022",244,85,158,0,0,0,0,0,0.00409836065573771,6631
"dubia","Appleton",2022,2022264,264,"21-Sep-22","9/21/2022",225,104,116,0,0,0,0,0,0.0222222222222222,7861.7
"dubia","Appleton",2022,2022278,278,"5-Oct-22","10/5/2022",192,88,100,0,0,0,0,0.0208333333333333,0,5217.8
"dubia","Appleton",2022,2022292,292,"19-Oct-22","10/19/2022",72,33,25,0,0,0,0,0.111111111111111,0.0833333333333333,1956.7
"dubia","Appleton",2022,2022307,307,"3-Nov-22","11/3/2022",34,25,9,0,0,0,0,0,0,4975.3
"pulicaria","Appleton",2022,2022153,153,"2-Jun-22","6/2/2022",472,234,230,3,0,0,0,0,0.00635593220338983,12827.2
"pulicaria","Appleton",2022,2022194,194,"13-Jul-22","7/13/2022",201,85,112,0,0,0,0,0,0.0199004975124378,10924.8
"pulicaria","Appleton",2022,2022208,208,"27-Jul-22","7/27/2022",259,90,162,1,0,0,0,0,0.0231660231660232,7038.6
"pulicaria","Appleton",2022,2022222,222,"10-Aug-22","8/10/2022",185,35,146,0,0,0,0,0,0.00540540540540541,5027.6
"pulicaria","Appleton",2022,2022236,236,"24-Aug-22","8/24/2022",210,91,96,2,0,0,0,0,0.0761904761904762,9325.2
"pulicaria","Appleton",2022,2022250,250,"7-Sep-22","9/7/2022",159,79,72,1,0,0,0,0,0.0377358490566038,4321
"pulicaria","Appleton",2022,2022264,264,"21-Sep-22","9/21/2022",143,55,72,0,0,0,0,0,0.111888111888112,3886.2
"pulicaria","Appleton",2022,2022278,278,"5-Oct-22","10/5/2022",63,42,16,0,0,0,0,0,0.0793650793650794,1712.1
"pulicaria","Appleton",2022,2022292,292,"19-Oct-22","10/19/2022",92,39,33,11,4,0,0,0,0.0434782608695652,2500.2
"pulicaria","Appleton",2022,2022307,307,"3-Nov-22","11/3/2022",10,6,3,1,0,NA,NA,NA,NA,1463.3
"retrocurva","Appleton",2022,2022153,153,"2-Jun-22","6/2/2022",293,176,108,0,0,0,0.00341296928327645,0,0.00341296928327645,77414.5
