Lake Name,Counted By,Date Sampled,Host Species,Parasite,Egg Number,Notes
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,1,
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,1,
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,1,
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,2,
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,1,
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,1,
Little Appleton,KFS,6/2/2022,Cerio,Uninfected ,1,
Bishop,LSD,6/2/2022,Cerio,Uninfected ,0,
Woodland,SKC,6/3/2022,Cerio,Uninfected ,5,
Mill,KJM,6/6/2022,Cerio,Uninfected ,0,
Mill,KJM,6/6/2022,Cerio,Uninfected ,0,
Mill,KJM,6/6/2022,Cerio,Uninfected ,1,
Mill,KJM,6/6/2022,Cerio,Uninfected ,0,
Mill,KJM,6/6/2022,Cerio,Uninfected ,2,
Mill,KJM,6/6/2022,Cerio,Uninfected ,2,
Mill,KJM,6/6/2022,Cerio,Uninfected ,0,
Mill,KJM,6/6/2022,Cerio,Uninfected ,0,
Mill,KJM,6/6/2022,Cerio,Uninfected ,2,
Mill,KJM,6/6/2022,Cerio,Uninfected ,0,
Mill,KJM,6/6/2022,Cerio,Uninfected ,0,
Mill,KJM,6/6/2022,Cerio,Uninfected ,2,
Mill,KJM,6/6/2022,Cerio,Uninfected ,0,
Mill,KJM,6/6/2022,Cerio,Uninfected ,0,
Mill,KJM,6/6/2022,Cerio,Uninfected ,0,
Mill,KJM,6/6/2022,Cerio,Uninfected ,0,
Mill,KJM,6/6/2022,Cerio,Uninfected ,2,
Mill,KJM,6/6/2022,Cerio,Uninfected ,0,
Mill,KJM,6/6/2022,Cerio,Uninfected ,1,
Mill,KJM,6/6/2022,Cerio,Uninfected ,0,
Mill,KJM,6/6/2022,Cerio,Uninfected ,0,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,2,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,2,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,2,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,0,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,1,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,2,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,3,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,2,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,0,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,1,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,1,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,0,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,1,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,0,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,0,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,0,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,0,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,1,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,1,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,1,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,3,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,2,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,2,
Walsh,KFS,6/6/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,1,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,0,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,1,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,1,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,1,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,0,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,0,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,0,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,1,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,1,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,1,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,1,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,1,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,1,
Crooked P,MKD,6/7/2022,Cerio,Uninfected ,2,
North,KJM,6/8/2022,Cerio,Uninfected ,1,
North,KJM,6/8/2022,Cerio,Uninfected ,0,
North,KJM,6/8/2022,Cerio,Uninfected ,0,
North,KJM,6/8/2022,Cerio,Uninfected ,0,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,0,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,0,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,0,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,0,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,2,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,0,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,0,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,0,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,1,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,0,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,2,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,2,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,0,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,0,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,0,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,1,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,1,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,0,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,0,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,2,
Gosling,MKD,6/9/2022,Cerio,Uninfected ,0,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,1,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,2,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,1,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,1,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,0,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,1,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,1,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,0,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,2,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,1,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,1,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,1,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,1,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,1,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,2,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,1,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,1,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,1,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,1,
Pickerel,KFS,6/9/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,2,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,2,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Unkown Parasite,1,
Crooked W,SKC and KJM,7/11/2022,Cerio,Unknown Parasite 2,0,
Crooked W,SKC and KJM,7/11/2022,Cerio,Unknown Parasite 2,2,
Little Appleton,KFS,7/13/2022,Cerio,Uninfected ,0,
Woodland,KDM,7/14/2022,Cerio,Uninfected ,3,
Woodland,KDM,7/14/2022,Cerio,Uninfected ,2,
Woodland,KDM,7/14/2022,Cerio,Uninfected ,2,
Whitmore,LSD,7/14/2022,Cerio,Uninfected ,0,
Whitmore,LSD,7/15/2022,Cerio,Uninfected ,1,
Whitmore,LSD,7/16/2022,Cerio,Uninfected ,0,
Whitmore,LSD,7/17/2022,Cerio,Uninfected ,3,
Whitmore,LSD,7/18/2022,Cerio,Uninfected ,3,
Whitmore,LSD,7/19/2022,Cerio,Uninfected ,1,
Whitmore,LSD,7/20/2022,Cerio,Uninfected ,1,
Whitmore,LSD,7/21/2022,Cerio,Uninfected ,1,
Whitmore,LSD,7/22/2022,Cerio,Uninfected ,1,
Whitmore,LSD,7/23/2022,Cerio,Uninfected ,0,
Whitmore,LSD,7/24/2022,Cerio,Uninfected ,2,
Whitmore,LSD,7/25/2022,Cerio,Uninfected ,1,
Whitmore,LSD,7/26/2022,Cerio,Uninfected ,2,
Whitmore,LSD,7/27/2022,Cerio,Uninfected ,0,
Whitmore,LSD,7/28/2022,Cerio,Uninfected ,1,
Whitmore,LSD,7/29/2022,Cerio,Uninfected ,2,
Whitmore,LSD,7/30/2022,Cerio,Uninfected ,0,
Whitmore,LSD,7/31/2022,Cerio,Uninfected ,3,
Whitmore,LSD,8/1/2022,Cerio,Uninfected ,4,
Whitmore,LSD,8/2/2022,Cerio,Uninfected ,1,
Whitmore,LSD,7/14/2022,Cerio,Uninfected ,2,
Mill,KFS,7/18/2022,Cerio,Uninfected ,1,
Mill,KFS,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,2,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,2,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,1,
Cerio,MKD,7/18/2022,Cerio,Uninfected ,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,1,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,1,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,1,
Cerio,MKD,7/18/2022,Cerio,MicG,1,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,2,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,1,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,1,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,1,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,1,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
Cerio,MKD,7/18/2022,Cerio,MicG,1,
Cerio,MKD,7/18/2022,Cerio,MicG,0,
