"Lake.Name","Counted.By","Date.Sampled","Host.Species","Parasite","Egg.Number","julian"
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","1",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","2",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","2",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","1",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","4",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","3",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","2",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","4",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","4",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Uninfected","0",153
"Appleton","KJM","2022-06-02","Dentifera","Coke","0",153
"Appleton","KJM","2022-06-02","Dentifera","Coke","2",153
"Appleton","KJM","2022-06-02","Dentifera","Coke","5",153
"Appleton","KJM","2022-06-02","Dentifera","Coke","0",153
"Appleton","KJM","2022-06-02","Dentifera","Coke","0",153
"Appleton","KJM","2022-06-02","Dentifera","Spiro","4",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","1",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected","0",153
