"Lake.Name","Counted.By","Date.Sampled","Host.Species","Parasite","Egg.Number","julian","Lat","Long"
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",1,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",2,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",2,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",1,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",4,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",3,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",2,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",4,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",4,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Coke",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Coke",2,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Coke",5,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Coke",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Coke",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Dentifera","Spiro",4,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",1,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Spiro",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Spiro",1,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Spiro",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Spiro",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Spiro",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Spiro",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Spiro",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Coke",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Retrocurva","Brood",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",2,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",1,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",2,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",2,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",2,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",1,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",1,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",1,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",2,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",1,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",2,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",2,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",2,153,42.510278,-83.834167
"Appleton","KJM","2022-06-02","Ambigua","Uninfected",0,153,42.510278,-83.834167
