Lake Name,Counted By,Date Sampled,Host Species,Parasite,Egg Number,Notes
Cedar,KJM,6/1/2022,Dubia,Uninfected ,1,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,1,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,1,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,1,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,1,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,1,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,1,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,1,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,1,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,1,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,1,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Uninfected ,0,
Cedar,KJM,6/1/2022,Dubia,Coke,0,
Cedar,KJM,6/1/2022,Dubia,Coke,0,
Cedar,KJM,6/1/2022,Dubia,Coke,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,0,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,0,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,0,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,0,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,2,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,2,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,2,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,2,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,2,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,2,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,2,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,0,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,2,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,2,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,0,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,2,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,2,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,2,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,1,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,e,
Crooked W,MKD,6/1/2022,Dubia,Uninfected ,e,
Crooked W,MKD,6/1/2022,Dubia,Coke,0,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,2,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,1,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,0,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,1,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,1,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,0,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,0,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,1,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,3,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,0,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,1,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,2,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,0,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,0,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,0,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,2,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,0,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,2,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,2,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,0,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,1,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,0,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,0,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,0,
Appleton,KJM,6/2/2022,Dubia,Uninfected ,0,
Appleton,KJM,6/2/2022,Dubia,Coke,1,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,1,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,1,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Uninfected ,0,
Bishop,LSD,6/2/2022,Dubia,Coke,0,
Bishop,LSD,6/2/2022,Dubia,Coke,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,Uninfected ,0,
Woodland,SKC,6/3/2022,Dubia,MicG,0,
Woodland,SKC,6/3/2022,Dubia,MicG,0,
