Lake.Name,Counted.By,Date.Sampled,Host.Species,Parasite,Egg.Number
Appleton,KJM,6/2/2022,Dentifera,Uninfected,1
Appleton,KJM,6/2/2022,Dentifera,Uninfected,2
Appleton,KJM,6/2/2022,Dentifera,Uninfected,2
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,1
Appleton,KJM,6/2/2022,Dentifera,Uninfected,4
Appleton,KJM,6/2/2022,Dentifera,Uninfected,3
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,2
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,4
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,4
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Uninfected,0
Appleton,KJM,6/2/2022,Dentifera,Coke,0
Appleton,KJM,6/2/2022,Dentifera,Coke,2
Appleton,KJM,6/2/2022,Dentifera,Coke,5
Appleton,KJM,6/2/2022,Dentifera,Coke,0
Appleton,KJM,6/2/2022,Dentifera,Coke,0
Appleton,KJM,6/2/2022,Dentifera,Spiro,4
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,1
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Uninfected,0
Appleton,KJM,6/2/2022,Retrocurva,Spiro,0
Appleton,KJM,6/2/2022,Retrocurva,Spiro,1
Appleton,KJM,6/2/2022,Retrocurva,Spiro,0
Appleton,KJM,6/2/2022,Retrocurva,Spiro,0
Appleton,KJM,6/2/2022,Retrocurva,Spiro,0
Appleton,KJM,6/2/2022,Retrocurva,Spiro,0
Appleton,KJM,6/2/2022,Retrocurva,Spiro,0
