Lake Name,Counted By,Date Sampled,Host Species,Parasite,Egg Number,Notes
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,1,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,Uninfected ,0,
Woodland,SKC,6/3/2022,Mendotae,MicG,1,
Woodland,SKC,6/3/2022,Mendotae,MicG,0,
Woodland,SKC,6/3/2022,Mendotae,MicG,0,
Woodland,SKC,6/3/2022,Mendotae,MicG,1,
Woodland,KDM,7/14/2022,Mendotae,Uninfected ,1,
Woodland,KDM,7/14/2022,Mendotae,Uninfected ,3,
Woodland,KDM,7/14/2022,Mendotae,Uninfected ,0,
Whitmore,LSD,7/28/2022,Mendotae,Uninfected ,4,
Whitmore,LSD,7/28/2022,Mendotae,Uninfected ,0,
Whitmore,LSD,7/28/2022,Mendotae,Uninfected ,1,
Whitmore,LSD,7/28/2022,Mendotae,Uninfected ,0,
Whitmore,LSD,7/28/2022,Mendotae,Uninfected ,1,
Whitmore,LSD,7/28/2022,Mendotae,Uninfected ,0,
Whitmore,LSD,7/28/2022,Mendotae,Uninfected ,0,
Whitmore,LSD,7/28/2022,Mendotae,Uninfected ,2,
Whitmore,LSD,7/28/2022,Mendotae,Uninfected ,1,
Whitmore,LSD,7/28/2022,Mendotae,Uninfected ,0,
Whitmore,LSD,7/28/2022,Mendotae,Uninfected ,0,
Whitmore,LSD,7/28/2022,Mendotae,Uninfected ,3,
Whitmore,LSD,7/28/2022,Mendotae,Uninfected ,0,
Whitmore,LSD,7/28/2022,Mendotae,Uninfected ,0,
Woodland,KDM,7/28/2022,Mendotae,Uninfected ,0,
Woodland,KDM,7/28/2022,Mendotae,Uninfected ,1,
Woodland,KDM,7/28/2022,Mendotae,Uninfected ,1,
Woodland,KDM,7/28/2022,Mendotae,Uninfected ,2,
Woodland,KDM,7/28/2022,Mendotae,Uninfected ,3,
Woodland,KDM,7/28/2022,Mendotae,Uninfected ,2,
Woodland,KDM,7/28/2022,Mendotae,Uninfected ,0,
Woodland,KDM,7/28/2022,Mendotae,Uninfected ,0,
Woodland,KDM,7/28/2022,Mendotae,Uninfected ,5,
Woodland,KDM,7/28/2022,Mendotae,Uninfected ,0,
Woodland,KDM,7/28/2022,Mendotae,Uninfected ,1,
Woodland,KDM,7/28/2022,Mendotae,Uninfected ,0,
Woodland,KDM,7/28/2022,Mendotae,Uninfected ,1,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,3,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,2,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,2,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,3,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,2,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,1,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,2,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,2,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,0,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,3,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,0,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,2,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,2,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,2,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,1,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,2,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,1,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,4,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,0,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,0,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,0,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,1,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,3,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,4,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,3,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,0,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,0,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,5,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,1,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,3,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,2,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,1,
Woodland,TAS,8/11/2022,Mendotae,Uninfected ,3,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,1,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,2,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,0,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,2,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,0,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,1,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,0,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,1,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,1,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,0,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,1,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,2,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,2,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,0,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,0,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,0,
Bruin,KDM,8/17/2022,Mendotae,Uninfected ,1,
Bruin,KDM,8/17/2022,Mendotae,MicG,0,
Bruin,KDM,8/17/2022,Mendotae,MicG,1,
Woodland,MKD,8/25/2022,Mendotae,Uninfected ,2,
Woodland,MKD,8/25/2022,Mendotae,Uninfected ,2,
Woodland,MKD,8/25/2022,Mendotae,Uninfected ,2,
Woodland,MKD,8/25/2022,Mendotae,Uninfected ,2,
Woodland,MKD,8/25/2022,Mendotae,Uninfected ,2,
Woodland,MKD,8/25/2022,Mendotae,Uninfected ,0,
Whitmore,KFS,8/25/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,3,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,3,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,3,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,4,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,3,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,3,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,4,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,Uninfected ,0,
Woodland,KJM,9/8/2022,Dubia/Mendotae,MicG,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,MicG,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,MicG,1,
Woodland,KJM,9/8/2022,Dubia/Mendotae,MicG,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,MicG,5,
Woodland,KJM,9/8/2022,Dubia/Mendotae,MicG,3,
Woodland,KJM,9/8/2022,Dubia/Mendotae,MicG,2,
Woodland,KJM,9/8/2022,Dubia/Mendotae,MicG,4,
Whitmore,TAS,9/22/2022,Mendotae,Uninfected ,1,
Whitmore,TAS,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,1,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,4,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,4,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,3,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,3,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,1,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,4,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,1,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,1,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,1,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,3,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,1,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,3,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,2,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,1,
Woodland,KJM,9/22/2022,Mendotae,Uninfected ,0,
Woodland,KJM,9/22/2022,Mendotae,MicG,3,
Woodland,KJM,9/22/2022,Mendotae,MicG,0,
Woodland,KJM,9/22/2022,Mendotae,MicG,3,
Woodland,KJM,9/22/2022,Mendotae,MicG,4,
Woodland,KJM,9/22/2022,Mendotae,MicG,3,
Woodland,KJM,9/22/2022,Mendotae,MicG,4,
Woodland,KJM,9/22/2022,Mendotae,MicG,2,
Woodland,KJM,9/22/2022,Mendotae,MicG,6,
Woodland,KJM,9/22/2022,Mendotae,MicG,0,
Woodland,KJM,9/22/2022,Mendotae,MicG,3,
Woodland,KJM,9/22/2022,Mendotae,MicG,2,
Woodland,KJM,9/22/2022,Mendotae,MicG,3,
Woodland,KJM,9/22/2022,Mendotae,MicG,3,
Woodland,KJM,9/22/2022,Mendotae,MicG,1,
Woodland,KJM,9/22/2022,Mendotae,MicG,0,
Woodland,KJM,9/22/2022,Mendotae,MicG,1,
Woodland,KJM,9/22/2022,Mendotae,MicG,3,
Woodland,KJM,9/22/2022,Mendotae,MicG,3,
Woodland,KJM,9/22/2022,Mendotae,MicG,2,
Whitmore,LSD,10/6/2022,Mendotae,Uninfected ,7,
Whitmore,LSD,10/6/2022,Mendotae,Uninfected ,0,
Whitmore,LSD,10/6/2022,Mendotae,Uninfected ,4,
Whitmore,LSD,10/6/2022,Mendotae,Uninfected ,3,
Whitmore,LSD,10/6/2022,Mendotae,Uninfected ,0,
