Lake Name,Counted By,Date Sampled,Host Species,Parasite,Egg Number,Notes
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,1,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,1,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,4,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,3,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,3,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,2,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,2,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,3,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,3,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,0,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,3,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,2,
Little Appleton,KFS,6/2/2022,Parvula,Uninfected ,3,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,3,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,2,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,3,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,5,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,2,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Uninfected ,0,
Appleton,KJM,6/2/2022,Parvula,Yellow Spiro,0,
Appleton,KJM,6/2/2022,Parvula,Yellow Spiro,0,
Appleton,KJM,6/2/2022,Parvula,Yellow Spiro,4,
