Lake Name,Counted By,Date Sampled,Host Species,Parasite,Egg Number,Notes
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,2,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,1,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,0,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,0,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,2,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,3,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,2,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,2,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,2,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,0,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,0,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,0,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,0,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,0,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,2,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,2,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,1,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,3,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,2,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,1,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,2,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,0,
Cedar,KJM,6/1/2022,Pulicaria,Uninfected ,0,
Cedar,KJM,6/1/2022,Pulicaria,Coke,1,
Cedar,KJM,6/1/2022,Pulicaria,Coke,0,
Cedar,KJM,6/1/2022,Pulicaria,Coke,1,
Cedar,KJM,6/1/2022,Pulicaria,Gurleya,0,
Cedar,KJM,6/1/2022,Pulicaria,Gurleya,0,
Cedar,KJM,6/1/2022,Pulicaria,Gurleya,0,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,2,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,2,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,4,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,4,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,2,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,1,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,0,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,2,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,2,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,3,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,2,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,0,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,2,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,e,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,1,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,2,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,3,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,0,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,2,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,0,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,3,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,3,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,0,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,0,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,1,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,2,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,2,
Crooked W,MKD,6/1/2022,Pulicaria,Uninfected ,2,
Appleton,KJM,6/2/2022,Pulicaria,Uninfected ,0,
Appleton,KJM,6/2/2022,Pulicaria,Uninfected ,0,
Appleton,KJM,6/2/2022,Pulicaria,Uninfected ,0,
